Unnamed: 0,Nombre_libro,Nombre_autor,Editorial,Formato,Precio
29,EL SUTIL ARTE DE QUE TE IMPORTE UN CARAJO 2A. ED. ,Mark Manson,HarperCollins,tapa blanda,222
30,El libro de Bill ,Alex Hirsch,Planeta,tapa dura,348
31,Yo nunca vi televisión ,31 minutos,Planeta Infantil México,tapa blanda,148
32,Hábitos atómicos TD ,James Clear,Paidós,tapa dura,459
33,El invencible verano de Liliana ,Cristina Rivera Garza,Literatura Random House,Multiformato,369
34,¡Gracias! ,Andrés Manuel López Obrador,Planeta México,tapa blanda,298
35,La autobiografía no autorizada de Tulio Triviño ,31 minutos,Planeta Infantil México,tapa blanda,148
36,Fisco Agenda 2024 ,Ediciones Fiscales ISEF,Ediciones fiscales ISEF,tapa blanda,356
37,Este dolor no es mío. Identifica y resuelve los traumas familiares heredados. ,Mark Wolynn,Gaia ediciones,tapa blanda,395
38,Hábitos atómicos ,James Clear,Paidós,tapa blanda,399
39,Matemáticas 2. Revuela primaria ,SM de Ediciones,SM,tapa blanda,799
40,La biblioteca de la medianoche ,Matt Haig,AdN,tapa blanda,361
41,Ya te cargó el retiro ,Eduardo Rosas,Grijalbo,tapa blanda,329
42,MEDITACIONES ,Marco Aurelio,Gandhi editores,tapa dura,249
43,"Dinastías: Dos familias, una nación ",Ramón Alberto Garza,Planeta México,tapa blanda,348
44,Romper el círculo (It Ends with Us) (Tie-In) ,Colleen Hoover,Planeta México,tapa blanda,348
45,La ciudad y sus muros inciertos ,Haruki Murakami,Tusquets México,Multiformato,398
46,DEJA DE SER TU ,Joe Dispenza,Urano,tapa blanda,370
47,Un lugar soleado para gente sombría ,Mariana Enriquez,Anagrama Océano,tapa blanda,293
48,Las mujeres que aman demasiado ,Robin Norwood,B de bolsillo,Multiformato,299
49,Relatos de la noche ,Uriel Reyes,Suma,Multiformato,229
50,EL SUTIL ARTE DE QUE TE IMPORTE UN CARAJO 2A. ED. ,Mark Manson,HarperCollins,tapa blanda,222
51,Estrellas De Vainilla ,Aleida Ocegueda,El Naranjo,tapa blanda,122
52,El derechairo que vendió su ferrari ,Jairo Calixto Albarrán,Aguilar,tapa blanda,249
53,El mito de Sísifo ,Albert Camus,Debolsillo,tapa blanda,149
54,Cuando no queden más estrellas que contar ,María Martínez,Crossbooks,tapa blanda,398
55,"Si lo crees, lo creas ",Brian Tracy,Debolsillo,tapa blanda,229
56,Pedro Páramo ,Juan Rulfo,RM,Multiformato,160
57,El principito ,Antoine de Saint-Exupéry,Gandhi editores,tapa dura,199
58,Agenda Mercantil 2024 ,Ediciones Fiscales ISEF,Ediciones fiscales ISEF,tapa blanda,335
59,Ejercicios Matemáticos 5 ,Varios autores,Larousse,tapa blanda,53
60,El pequeño libro de la realidad ,Odin Dupeyron,Disidente,tapa blanda,396
61,Así no es ,Viri Ríos,Grijalbo,tapa blanda,249
62,Dios. La ciencia. Las pruebas. ,Michel Yves Bollore,Oceano,tapa blanda,395
63,El libro de Bill ,Alex Hirsch,Planeta,tapa dura,348
64,Yo nunca vi televisión ,31 minutos,Planeta Infantil México,tapa blanda,148
65,Hábitos atómicos TD ,James Clear,Paidós,tapa dura,459
66,El invencible verano de Liliana ,Cristina Rivera Garza,Literatura Random House,Multiformato,369
67,¡Gracias! ,Andrés Manuel López Obrador,Planeta México,tapa blanda,298
68,La autobiografía no autorizada de Tulio Triviño ,31 minutos,Planeta Infantil México,tapa blanda,148
69,Fisco Agenda 2024 ,Ediciones Fiscales ISEF,Ediciones fiscales ISEF,tapa blanda,356
70,Este dolor no es mío. Identifica y resuelve los traumas familiares heredados. ,Mark Wolynn,Gaia ediciones,tapa blanda,395
71,Hábitos atómicos ,James Clear,Paidós,tapa blanda,399
72,Matemáticas 2. Revuela primaria ,SM de Ediciones,SM,tapa blanda,799
73,La biblioteca de la medianoche ,Matt Haig,AdN,tapa blanda,361
74,Ya te cargó el retiro ,Eduardo Rosas,Grijalbo,tapa blanda,329
75,MEDITACIONES ,Marco Aurelio,Gandhi editores,tapa dura,249
76,"Dinastías: Dos familias, una nación ",Ramón Alberto Garza,Planeta México,tapa blanda,348
77,Romper el círculo (It Ends with Us) (Tie-In) ,Colleen Hoover,Planeta México,tapa blanda,348
78,La ciudad y sus muros inciertos ,Haruki Murakami,Tusquets México,Multiformato,398
79,DEJA DE SER TU ,Joe Dispenza,Urano,tapa blanda,370
80,Un lugar soleado para gente sombría ,Mariana Enriquez,Anagrama Océano,tapa blanda,293
81,Las mujeres que aman demasiado ,Robin Norwood,B de bolsillo,Multiformato,299
82,Relatos de la noche ,Uriel Reyes,Suma,Multiformato,229
83,EL SUTIL ARTE DE QUE TE IMPORTE UN CARAJO 2A. ED. ,Mark Manson,HarperCollins,tapa blanda,222
84,Estrellas De Vainilla ,Aleida Ocegueda,El Naranjo,tapa blanda,122
85,El derechairo que vendió su ferrari ,Jairo Calixto Albarrán,Aguilar,tapa blanda,249
86,El mito de Sísifo ,Albert Camus,Debolsillo,tapa blanda,149
87,Cuando no queden más estrellas que contar ,María Martínez,Crossbooks,tapa blanda,398
88,"Si lo crees, lo creas ",Brian Tracy,Debolsillo,tapa blanda,229
89,Pedro Páramo ,Juan Rulfo,RM,Multiformato,160
90,El principito ,Antoine de Saint-Exupéry,Gandhi editores,tapa dura,199
91,Agenda Mercantil 2024 ,Ediciones Fiscales ISEF,Ediciones fiscales ISEF,tapa blanda,335
92,Ejercicios Matemáticos 5 ,Varios autores,Larousse,tapa blanda,53
93,El pequeño libro de la realidad ,Odin Dupeyron,Disidente,tapa blanda,396
94,Así no es ,Viri Ríos,Grijalbo,tapa blanda,249
95,Dios. La ciencia. Las pruebas. ,Michel Yves Bollore,Oceano,tapa blanda,395
96,Cuentos gatunos ,Varios Autores,EDICIONES GANDHI,tapa dura,229
97,No te creas todo lo que piensas ,Joseph Nguyen,Aguilar Fontanar,Multiformato,199
98,Constitución política de los Estados Unidos Mexicanos 15a edición ,Miguel Carbonell,TIRANT LO BLANCH,tapa blanda,39
99,La paciente silenciosa ,Alex Michaelides,Alfaguara,Multiformato,439
100,Ejercicios de Ortografía 3 primaria ,Varios autores,Larousse,tapa blanda,52
101,Apología de Sócrates ,Platón,Gredos,tapa dura,99
102,SEDUCIENDO A MR: BRIDGERTON : BRIDGERTON 4 ,Julia Quinn,Titania,tapa blanda,345
103,La reina de espadas ,Jazmina Barrera,Lumen,Multiformato,319
104,Mis días en la librería Morisaki ,Satoshi Yagisawa,Plata,tapa blanda,195
105,Los alemanes ( Premio Alfaguara de novela 2024 ) ,Sergio del Molino,Alfaguara,tapa blanda,389
106,Romper el círculo (It Ends with Us) ,Colleen Hoover,Planeta,tapa blanda,348
107,Un animal salvaje ,Joël Dicker,Alfaguara,Multiformato,489
108,El libro de Bill ,Alex Hirsch,Planeta,tapa dura,348
